,customer_id,customer_name,registration_date,gender,age,birth,pref
41,IK077913,김민규,2019-01-03 0:13,M,29,1990-06-05,대전광역시
42,GD915723,김태윤,2019-01-03 0:14,F,27,1992-07-17,대전광역시
43,HI263602,김재원,2019-01-03 0:41,F,60,1959-05-01,울산광역시
44,PL983707,김민우,2019-01-03 0:53,F,28,1991-05-31,서울특별시
45,OA544396,김재민,2019-01-03 2:46,M,29,1989-10-11,광주광역시
46,PL374717,김한결,2019-01-03 2:57,M,30,1989-04-08,울산광역시
47,TS301045,김수호,2019-01-03 4:04,F,26,1993-01-07,인천광역시
48,PL400581,김은찬,2019-01-03 4:53,F,36,1982-10-27,서울특별시
49,GD191213,김시원,2019-01-03 5:13,F,36,1982-11-05,울산광역시
50,HI988473,김윤호,2019-01-03 6:10,F,53,1965-11-19,부산광역시
51,IK779828,김민찬,2019-01-03 6:47,F,77,1942-08-01,광주광역시
52,GD727041,김성민,2019-01-03 6:57,M,47,1972-06-20,대구광역시
53,HD123842,김준호,2019-01-03 9:20,M,74,1944-11-17,부산광역시
54,PL534171,김승준,2019-01-03 9:39,F,50,1969-02-23,인천광역시
55,OA368057,김성현,2019-01-03 9:58,M,35,1984-07-22,울산광역시
56,IK254439,김시온,2019-01-03 10:24,F,21,1998-02-15,광주광역시
57,PL186773,김지안,2019-01-03 11:20,F,22,1997-07-26,광주광역시
58,OA666190,김현서,2019-01-03 11:28,M,21,1998-05-25,대전광역시
59,AS699883,김이준,2019-01-03 15:53,F,59,1959-10-10,서울특별시
60,AS569518,김재현,2019-01-03 16:42,F,29,1989-11-15,인천광역시
61,IK102369,김지성,2019-01-03 19:11,F,70,1948-08-21,서울특별시
62,PL470792,김태민,2019-01-03 22:53,F,40,1979-05-21,광주광역시
63,IK943660,김하율,2019-01-04 0:45,F,25,1994-01-29,대구광역시
64,AS450151,김예성,2019-01-04 0:46,M,42,1976-08-08,대전광역시
65,HD069769,김태현,2019-01-04 2:14,F,75,1944-03-03,인천광역시
66,TS771339,김민혁,2019-01-04 2:57,M,66,1952-10-11,대전광역시
67,HD068817,김우빈,2019-01-04 3:01,M,68,1951-05-17,인천광역시
68,GD322464,김민호,2019-01-04 4:19,M,44,1975-04-04,광주광역시
69,HI949100,김지율,2019-01-04 6:35,M,36,1983-05-01,대전광역시
70,TS724794,김지한,2019-01-04 8:05,F,50,1969-06-01,서울특별시
71,PL705609,김성준,2019-01-04 9:12,F,25,1993-09-17,대전광역시
72,AS288339,김이안,2019-01-04 9:34,F,23,1996-07-13,부산광역시
73,GD691243,김정민,2019-01-04 10:37,M,48,1970-11-20,인천광역시
74,GD762671,김규민,2019-01-04 11:16,F,37,1981-10-07,서울특별시
75,HD565792,김서우,2019-01-04 12:38,F,74,1944-11-10,대전광역시
76,HI400734,김윤성,2019-01-04 13:24,M,64,1955-01-13,대구광역시
77,AS502510,김지민,2019-01-04 14:38,F,71,1947-10-27,인천광역시
78,AS230629,김은호,2019-01-04 16:19,M,55,1963-09-01,인천광역시
79,PL659352,김준,2019-01-04 17:49,M,50,1968-12-14,광주광역시
80,OA545809,김민석,2019-01-04 19:28,M,30,1989-01-10,서울특별시
81,HD251544,김윤재,2019-01-04 19:34,F,59,1960-02-01,인천광역시
82,TS671691,김율,2019-01-04 19:59,M,64,1954-09-15,인천광역시
83,PL556767,김준수,2019-01-04 20:03,M,32,1987-02-21,대전광역시
84,HI792024,김하람,2019-01-04 22:27,M,46,1973-07-11,대전광역시
85,HD809345,김은성,2019-01-04 22:37,F,51,1967-10-04,부산광역시
86,HD523310,김예찬,2019-01-04 22:49,F,73,1946-04-07,인천광역시
87,GD434239,김태양,2019-01-04 22:59,F,79,1939-09-12,서울특별시
88,HI067846,김하진,2019-01-05 1:57,M,33,1986-03-10,부산광역시
89,PL144435,김준희,2019-01-05 2:48,M,65,1953-08-17,인천광역시
90,TS707101,김도훈,2019-01-05 3:45,M,35,1984-01-28,서울특별시
91,IK429683,김준성,2019-01-05 3:52,M,29,1989-10-07,광주광역시
92,PL573838,김현수,2019-01-05 4:27,F,53,1965-09-29,대구광역시
93,TS893503,김건,2019-01-05 4:36,F,30,1988-12-19,대전광역시
94,TS179365,김하민,2019-01-05 4:49,M,33,1985-11-14,인천광역시
95,PL417753,김승원,2019-01-05 10:14,M,64,1955-06-15,대전광역시
96,PL964421,김지완,2019-01-05 11:38,M,29,1990-05-09,대전광역시
97,HI484575,김정현,2019-01-05 12:39,M,74,1945-05-07,서울특별시
98,GD903830,김강민,2019-01-05 12:39,F,53,1966-02-06,인천광역시
99,PL683089,김태준,2019-01-05 14:06,F,28,1991-06-14,광주광역시
100,HI024535,김승호,2019-01-05 15:10,F,45,1974-05-28,부산광역시
101,HI026312,김성빈,2019-01-05 16:30,M,60,1959-08-04,서울특별시
102,OA510950,김주호,2019-01-05 18:40,F,59,1960-02-01,대구광역시
103,PL924048,김민서,2019-01-05 18:47,F,64,1955-04-23,울산광역시
104,HD952062,김도영,2019-01-05 20:17,F,33,1986-06-01,인천광역시
105,AS841064,김우현,2019-01-05 20:46,F,36,1983-06-06,인천광역시
106,TS998593,김민수,2019-01-05 21:45,F,32,1987-07-01,대구광역시
107,OA041301,김주안,2019-01-05 23:48,M,32,1986-12-28,광주광역시
108,HD722956,김건희,2019-01-06 0:22,F,46,1973-08-06,부산광역시
109,HD344852,김주환,2019-01-06 1:29,M,35,1984-07-06,서울특별시
110,AS211705,김우주,2019-01-06 3:15,M,41,1978-03-09,인천광역시
111,PL857529,김정훈,2019-01-06 4:44,F,22,1997-02-05,대구광역시
112,IK593765,김원준,2019-01-06 7:28,M,55,1963-12-06,부산광역시
113,OA642994,김하랑,2019-01-06 8:01,M,76,1943-06-10,부산광역시
114,GD241254,김시훈,2019-01-06 10:02,F,77,1942-06-16,울산광역시
115,HI229277,김민기,2019-01-06 10:32,F,71,1948-04-04,부산광역시
116,OA322749,김시율,2019-01-06 10:51,M,49,1969-10-14,서울특별시
117,HI183093,김현민,2019-01-06 13:23,F,66,1952-08-19,대전광역시
118,PL907705,김경민,2019-01-06 13:46,F,44,1975-01-07,인천광역시
119,GD518115,김다온,2019-01-06 13:50,M,62,1956-09-21,대전광역시
120,HI235051,김현성,2019-01-06 15:18,F,66,1952-09-11,대전광역시
121,OA452734,김시완,2019-01-06 16:10,M,75,1944-05-06,서울특별시
122,TS963433,김지오,2019-01-06 16:12,M,69,1950-08-05,대전광역시
123,GD069878,김승윤,2019-01-06 17:22,F,68,1951-01-09,대구광역시
124,HD467920,김주영,2019-01-06 18:38,M,51,1968-01-06,대전광역시
125,GD362521,김서율,2019-01-06 19:11,F,69,1950-02-01,서울특별시
126,TS230934,김동하,2019-01-06 19:33,M,70,1948-12-14,광주광역시
127,HI364290,김태훈,2019-01-06 19:46,F,54,1964-08-13,서울특별시
128,OA003684,김민건,2019-01-06 23:03,F,51,1968-01-12,대전광역시
129,AS732240,김동건,2019-01-06 23:39,F,33,1986-04-09,인천광역시
130,HD566204,김재훈,2019-01-07 4:58,F,68,1950-09-09,대전광역시
131,AS842977,김태영,2019-01-07 6:37,F,28,1990-09-26,대전광역시
132,TS257398,김호준,2019-01-07 7:20,F,32,1986-12-29,인천광역시
133,HI231462,김승빈,2019-01-07 8:18,F,37,1982-05-24,인천광역시
134,GD804496,김재준,2019-01-07 10:01,F,69,1949-11-19,대구광역시
135,IK584824,김가온,2019-01-07 10:58,M,58,1961-05-30,인천광역시
136,IK276561,김세현,2019-01-07 13:40,M,70,1948-11-11,대전광역시
137,OA829372,김도율,2019-01-07 13:57,F,45,1973-12-13,대전광역시
138,HD459783,김시환,2019-01-07 14:28,F,48,1971-04-02,인천광역시
139,PL563502,김태경,2019-01-07 14:34,M,30,1989-07-15,대전광역시
140,GD856484,김현진,2019-01-07 14:39,F,26,1992-10-01,부산광역시
141,PL008262,김재영,2019-01-07 15:50,M,73,1946-01-02,대구광역시
142,HD104614,김상현,2019-01-07 17:04,F,58,1960-09-19,인천광역시
143,HD745359,김영준,2019-01-07 17:46,M,52,1967-01-03,울산광역시
144,HD412914,김현승,2019-01-07 18:02,F,78,1941-05-14,대구광역시
145,GD390442,김범준,2019-01-07 19:31,F,72,1947-02-23,서울특별시
146,PL888478,김찬영,2019-01-07 19:57,F,25,1993-08-21,광주광역시
147,TS972175,김승훈,2019-01-07 23:58,M,72,1946-09-11,인천광역시
148,AS112674,김도원,2019-01-08 3:01,F,44,1975-03-21,부산광역시
149,HD369528,김정원,2019-01-08 3:18,M,74,1944-10-22,대전광역시
150,IK743897,김정후,2019-01-08 4:03,F,61,1957-08-08,부산광역시
151,HI606358,김성윤,2019-01-08 6:27,F,39,1980-06-29,인천광역시
152,HD295267,김도경,2019-01-08 7:23,M,62,1957-01-12,부산광역시
153,PL649133,김주혁,2019-01-08 8:19,F,62,1957-02-20,대전광역시
154,AS301190,김온유,2019-01-08 9:18,F,23,1996-08-05,대구광역시
155,AS197200,김서후,2019-01-08 10:12,M,69,1949-11-21,부산광역시
156,IK844273,김윤,2019-01-08 10:14,F,46,1973-04-01,부산광역시
157,OA175481,김찬우,2019-01-08 11:49,F,77,1941-10-04,대구광역시
158,PL312029,김현,2019-01-08 12:04,M,52,1967-04-13,부산광역시
159,AS210576,김라온,2019-01-08 14:54,F,42,1977-01-27,서울특별시
160,GD011312,김이현,2019-01-08 17:03,F,24,1994-10-08,울산광역시
161,GD850851,김하윤,2019-01-08 17:13,F,80,1939-06-01,대구광역시
162,IK993568,김우성,2019-01-08 17:21,M,49,1969-10-21,대전광역시
163,HD218970,김성훈,2019-01-08 18:22,M,23,1996-06-11,광주광역시
164,PL980001,김재하,2019-01-08 18:54,M,30,1988-10-03,부산광역시
165,GD648354,김연준,2019-01-08 19:22,M,22,1997-01-13,대구광역시
166,TS647525,김동윤,2019-01-08 20:50,M,36,1983-03-30,대구광역시
167,HD509520,김승재,2019-01-08 22:29,M,40,1978-11-18,부산광역시
168,OA510981,김찬희,2019-01-08 22:58,F,64,1955-02-01,인천광역시
169,TS895361,김동욱,2019-01-08 23:33,F,72,1946-11-08,서울특별시
170,HD076496,김건호,2019-01-09 0:20,M,63,1956-03-01,인천광역시
171,HI060044,김지혁,2019-01-09 3:48,M,80,1939-08-02,대전광역시
172,IK986467,김세준,2019-01-09 5:23,M,43,1975-12-07,광주광역시
173,GD098828,김수민,2019-01-09 5:37,M,36,1983-02-07,대전광역시
174,TS186877,김태호,2019-01-09 6:12,M,49,1970-02-16,울산광역시
175,PL340906,김승찬,2019-01-09 6:58,F,34,1985-04-08,서울특별시
176,PL674172,김태율,2019-01-09 7:27,F,28,1991-04-16,부산광역시
177,PL550805,김윤찬,2019-01-09 7:38,M,51,1967-09-14,서울특별시
178,PL435064,김유건,2019-01-09 7:41,F,68,1951-03-05,대구광역시
179,AS912483,김태우,2019-01-09 9:06,F,22,1997-04-26,인천광역시
180,GD763297,김현호,2019-01-09 9:22,F,29,1990-07-19,광주광역시
181,AS921368,김산,2019-01-09 11:16,F,67,1951-08-09,광주광역시
182,GD378149,김현빈,2019-01-09 11:30,F,76,1942-10-03,인천광역시
183,HD250940,김준석,2019-01-09 11:57,F,64,1955-06-11,서울특별시
184,TS597253,김윤후,2019-01-09 12:52,F,71,1948-08-06,대전광역시
185,GD821903,김재우,2019-01-09 16:11,F,36,1982-11-18,대전광역시
186,IK907713,김이든,2019-01-09 17:50,F,31,1988-07-07,광주광역시
187,AS866028,김주현,2019-01-09 17:55,M,51,1967-12-27,서울특별시
188,GD670693,김형준,2019-01-09 19:38,M,73,1946-07-01,광주광역시
189,PL928334,김지운,2019-01-09 20:14,M,50,1969-02-09,서울특별시
190,TS342077,김찬,2019-01-09 21:00,M,67,1951-12-28,인천광역시
191,OA256309,김재혁,2019-01-09 21:36,F,51,1968-04-05,인천광역시
192,OA962394,김효준,2019-01-09 22:11,M,24,1994-08-30,부산광역시
193,HD250394,김성우,2019-01-09 22:36,M,74,1945-04-26,부산광역시
194,TS033156,김로운,2019-01-09 23:37,M,45,1974-01-24,부산광역시
195,HI161247,김연호,2019-01-10 1:10,F,59,1959-10-02,부산광역시
196,HD673446,김단우,2019-01-10 1:39,F,30,1989-04-08,대전광역시
197,AS707671,김동우,2019-01-10 4:45,F,71,1948-06-15,대전광역시
198,OA836088,김주완,2019-01-10 5:05,M,69,1950-01-22,대전광역시
199,IK452215,김주한,2019-01-10 5:07,F,47,1972-03-17,인천광역시
200,GD979485,김규빈,2019-01-10 5:17,F,64,1955-01-31,서울특별시
201,IK775424,김수혁,2019-01-10 8:20,F,37,1982-03-04,인천광역시
202,HI506119,김시헌,2019-01-10 8:42,F,41,1978-01-21,인천광역시
203,OA222039,김재희,2019-01-10 8:43,M,59,1960-06-02,서울특별시
204,GD246033,김상윤,2019-01-10 8:47,F,59,1960-04-18,대구광역시
205,OA923215,김우찬,2019-01-10 9:50,M,38,1981-06-10,광주광역시
206,PL894962,김석현,2019-01-10 9:57,M,33,1985-11-25,인천광역시
207,OA516337,김유빈,2019-01-10 11:13,F,66,1952-10-15,대구광역시
208,GD843424,김진호,2019-01-10 12:49,M,43,1976-04-28,부산광역시
209,HD767334,김도하,2019-01-10 13:55,M,53,1966-07-10,인천광역시
210,OA707923,김시안,2019-01-10 13:56,M,29,1989-08-18,부산광역시
211,HI196175,김준형,2019-01-10 15:02,F,32,1987-05-23,부산광역시
212,TS563606,김하늘,2019-01-10 16:16,F,45,1973-11-19,서울특별시
213,HI525283,김우영,2019-01-10 17:11,F,24,1995-01-31,대구광역시
214,PL012521,김유현,2019-01-10 17:28,F,20,1998-12-24,대구광역시
215,IK330019,김윤서,2019-01-10 17:30,M,20,1999-05-25,대구광역시
216,GD968190,김도연,2019-01-10 17:47,F,35,1983-10-24,광주광역시
217,HI013029,김지용,2019-01-10 18:16,M,57,1962-01-12,대전광역시
218,GD138948,김용준,2019-01-10 18:47,M,51,1967-10-05,대전광역시
219,PL326209,김규현,2019-01-10 20:45,F,70,1949-06-07,대전광역시
220,IK603991,김동준,2019-01-10 21:21,M,72,1946-11-22,서울특별시
221,TS985967,김유진,2019-01-11 1:48,M,70,1948-12-19,서울특별시
222,HD869524,김서원,2019-01-11 2:11,M,78,1941-03-08,대구광역시
223,AS779688,김준후,2019-01-11 2:19,M,59,1960-07-18,부산광역시
224,GD038969,김호진,2019-01-11 3:09,F,29,1990-02-12,광주광역시
225,TS379041,김은율,2019-01-11 5:00,F,61,1958-07-02,울산광역시
226,HD768386,김진혁,2019-01-11 5:24,M,51,1967-11-20,대전광역시
227,HD298120,김강현,2019-01-11 8:16,M,42,1977-05-17,광주광역시
228,GD316957,김상우,2019-01-11 8:46,F,40,1979-04-23,부산광역시
229,OA704361,김승환,2019-01-11 9:26,F,51,1967-10-09,서울특별시
230,IK853780,김지웅,2019-01-11 12:17,M,28,1990-10-01,울산광역시
231,GD639619,김은혁,2019-01-11 12:21,F,23,1995-10-11,대전광역시
232,OA959837,김은준,2019-01-11 14:03,F,54,1964-12-14,인천광역시
233,PL957442,김승후,2019-01-11 14:40,F,69,1949-12-25,대구광역시
234,TS070681,김동훈,2019-01-11 16:40,F,61,1957-11-24,서울특별시
235,HD151209,김태인,2019-01-11 19:10,M,57,1962-03-14,서울특별시
236,TS059971,김도준,2019-01-11 19:48,F,36,1982-12-18,인천광역시
237,HI407816,김우준,2019-01-11 20:00,F,61,1958-01-02,대구광역시
238,TS362101,김유민,2019-01-11 20:50,M,50,1969-07-21,부산광역시
239,HD827887,김시호,2019-01-12 0:29,M,71,1948-05-04,울산광역시
240,GD001932,김영민,2019-01-12 3:24,M,59,1960-04-01,대전광역시
241,HD478215,김승주,2019-01-12 4:22,M,79,1939-09-15,대구광역시
242,IK132840,김성원,2019-01-12 5:04,F,60,1959-05-25,울산광역시
243,AS963713,김대현,2019-01-12 6:12,M,40,1978-11-12,부산광역시
244,IK774332,김종현,2019-01-12 7:49,M,56,1962-08-30,대전광역시
245,PL479702,김현석,2019-01-12 8:55,M,73,1946-06-10,대전광역시
246,OA004129,김세훈,2019-01-12 9:15,F,46,1973-01-06,부산광역시
247,TS568764,김서윤,2019-01-12 9:33,M,64,1955-02-03,대구광역시
248,OA383490,김준현,2019-01-12 9:48,M,31,1987-09-28,울산광역시
249,PL415606,김재호,2019-01-12 9:51,F,80,1939-03-12,인천광역시
250,TS918434,김도진,2019-01-12 11:30,F,43,1976-07-13,대구광역시
251,AS627304,김상민,2019-01-12 12:24,F,48,1970-12-01,부산광역시
252,IK228443,김신우,2019-01-12 12:25,F,40,1978-10-02,서울특별시
253,HI511961,김승유,2019-01-12 14:20,M,39,1980-01-08,대전광역시
254,AS280969,김태환,2019-01-12 14:20,F,37,1982-04-30,서울특별시
255,GD653579,김원우,2019-01-12 15:21,F,80,1939-04-25,부산광역시
256,PL303162,김은수,2019-01-12 15:26,F,48,1970-12-18,서울특별시
257,OA512978,김동혁,2019-01-12 15:47,M,80,1939-05-01,인천광역시
258,PL849752,김정빈,2019-01-12 16:38,M,60,1958-08-26,광주광역시
259,AS125481,김준원,2019-01-12 16:45,F,72,1946-09-25,대구광역시
260,HI958817,김민결,2019-01-12 17:02,F,56,1962-09-09,대전광역시
261,GD283718,김강우,2019-01-12 17:12,F,61,1958-01-21,대전광역시
262,HI791682,김서호,2019-01-12 17:39,F,40,1979-02-04,서울특별시
263,AS436928,김영우,2019-01-12 18:33,M,76,1942-08-31,대구광역시
264,AS371310,김선호,2019-01-12 21:47,M,59,1960-05-31,울산광역시
265,IK004670,김동규,2019-01-13 1:02,F,23,1996-06-16,인천광역시
266,TS248015,김진서,2019-01-13 2:24,F,45,1973-08-30,대구광역시
267,HI400606,김태성,2019-01-13 3:28,M,63,1955-10-11,인천광역시
268,HI604733,김도겸,2019-01-13 3:34,F,43,1976-05-06,대구광역시
269,HD982676,김하온,2019-01-13 4:01,F,29,1990-05-12,광주광역시
270,OA869095,김유성,2019-01-13 5:39,F,55,1963-08-08,대전광역시
271,HI859532,김성진,2019-01-13 5:39,F,28,1990-09-02,부산광역시
272,TS208446,김혜성,2019-01-13 5:50,M,23,1996-01-07,대전광역시
273,IK676041,김요한,2019-01-13 6:16,F,74,1945-02-18,광주광역시
274,TS882329,김여준,2019-01-13 8:37,M,41,1978-04-14,대구광역시
275,PL852196,김주형,2019-01-13 10:03,M,47,1971-10-19,인천광역시
276,TS614929,김윤건,2019-01-13 11:44,F,69,1950-05-15,서울특별시
277,HD760983,김태건,2019-01-13 11:55,M,50,1968-11-23,대전광역시
278,IK395179,김태오,2019-01-13 14:44,F,22,1997-02-05,대구광역시
279,HI414861,김아인,2019-01-13 14:50,M,47,1972-01-19,인천광역시
280,TS516522,김준범,2019-01-13 15:23,M,73,1946-05-24,서울특별시
281,PL103598,김희찬,2019-01-13 15:31,F,49,1970-06-05,서울특별시
282,IK511263,김우혁,2019-01-13 15:36,F,80,1938-09-04,부산광역시
283,TS825520,김찬민,2019-01-13 17:50,F,72,1947-01-13,인천광역시
284,PL877142,김인우,2019-01-13 17:57,M,50,1969-02-10,서울특별시
285,HI859298,김서현,2019-01-13 18:57,M,21,1997-10-07,울산광역시
286,HI296573,김정호,2019-01-13 20:16,F,36,1983-06-04,인천광역시
287,HD693609,김한율,2019-01-13 20:29,M,20,1998-09-10,서울특별시
288,OA296415,김유안,2019-01-13 21:15,M,62,1956-12-13,인천광역시
289,GD785491,김민제,2019-01-13 22:16,M,45,1974-07-16,서울특별시
290,PL371500,김성호,2019-01-14 2:15,F,20,1999-04-27,서울특별시
291,AS495117,김윤수,2019-01-14 7:55,M,61,1957-11-01,서울특별시
292,HD335580,김인성,2019-01-14 10:07,F,69,1949-09-11,대전광역시
293,IK782104,김상준,2019-01-14 11:46,M,58,1960-08-10,대구광역시
294,OA348005,김희준,2019-01-14 12:21,M,55,1964-02-01,대전광역시
295,TS344152,김준민,2019-01-14 12:55,F,35,1984-07-19,인천광역시
296,HI106422,김경준,2019-01-14 13:43,M,24,1994-11-23,광주광역시
297,PL913199,김승혁,2019-01-14 14:42,M,46,1972-10-12,부산광역시
298,IK351897,김민승,2019-01-14 18:27,F,33,1986-03-18,대전광역시
299,HD291079,김태원,2019-01-14 19:14,F,55,1964-07-24,서울특별시
300,IK559596,김하성,2019-01-14 20:15,F,31,1987-08-09,광주광역시
301,HD685879,김재성,2019-01-14 20:31,F,21,1997-11-15,부산광역시
302,IK759414,김태웅,2019-01-14 22:36,M,80,1939-04-10,서울특별시
303,OA378430,김승헌,2019-01-14 23:37,M,78,1941-07-21,부산광역시
304,IK234815,김진영,2019-01-15 1:08,M,68,1951-07-27,서울특별시
305,TS372874,김채민,2019-01-15 3:28,M,52,1967-01-20,인천광역시
306,HD853800,김한울,2019-01-15 3:32,F,52,1967-06-22,대구광역시
307,OA030640,김환희,2019-01-15 4:07,M,56,1962-08-15,대전광역시
308,IK966075,김시준,2019-01-15 5:19,F,78,1941-04-26,대전광역시
309,HI450576,김세윤,2019-01-15 5:22,F,62,1957-02-05,광주광역시
310,GD183457,김승기,2019-01-15 6:48,F,70,1949-04-24,서울특별시
311,IK430848,김건후,2019-01-15 7:57,M,55,1963-10-08,대전광역시
312,OA911257,김호연,2019-01-15 7:58,F,46,1972-10-10,인천광역시
313,AS790905,김성재,2019-01-15 8:20,M,79,1939-10-02,대전광역시
314,PL356645,김재율,2019-01-15 10:23,M,32,1987-01-01,울산광역시
315,IK030606,김선율,2019-01-15 11:20,M,25,1994-05-25,인천광역시
316,IK244606,김세진,2019-01-15 11:35,M,53,1966-01-26,울산광역시
317,TS609198,김주성,2019-01-15 12:11,M,22,1997-01-28,울산광역시
318,PL995085,김호영,2019-01-15 13:31,M,66,1953-05-16,인천광역시
319,GD343618,김현규,2019-01-15 13:44,F,37,1981-11-07,광주광역시
320,HD981245,김가람,2019-01-15 14:47,M,80,1939-07-16,인천광역시
321,HI477055,김재이,2019-01-15 16:04,M,70,1949-07-14,서울특별시
322,HI402688,김현욱,2019-01-15 16:35,M,37,1982-03-13,서울특별시
323,AS582607,김규원,2019-01-15 16:51,M,25,1994-07-28,부산광역시
324,HI292376,김찬율,2019-01-15 17:04,M,48,1971-05-25,대전광역시
325,AS574816,김준하,2019-01-15 18:30,F,34,1985-01-19,울산광역시
326,IK004574,김연후,2019-01-15 20:03,F,61,1958-02-15,대전광역시
327,GD288833,김태하,2019-01-15 20:40,M,30,1989-07-10,대전광역시
328,OA484479,김시영,2019-01-15 21:42,F,36,1983-02-05,대구광역시
329,AS772027,김진욱,2019-01-15 23:54,M,35,1983-11-10,부산광역시
330,IK292139,김희성,2019-01-16 0:07,F,45,1973-12-28,인천광역시
331,GD563129,김창민,2019-01-16 1:19,M,76,1943-01-22,부산광역시
332,AS092144,김정윤,2019-01-16 2:52,M,53,1966-02-06,서울특별시
333,IK452483,김지윤,2019-01-16 4:13,M,27,1992-05-13,부산광역시
334,GD029189,김지섭,2019-01-16 4:32,F,73,1946-01-14,대전광역시
335,OA157445,김정환,2019-01-16 5:21,M,59,1959-12-29,울산광역시
336,IK624245,김다원,2019-01-16 7:24,M,67,1951-08-24,서울특별시
337,TS989364,김찬혁,2019-01-16 8:28,F,78,1940-09-05,부산광역시
338,HD620437,김민,2019-01-16 10:50,F,41,1978-04-09,대구광역시
339,AS670699,김성찬,2019-01-16 12:04,F,23,1996-07-01,부산광역시
340,HI653131,김세민,2019-01-16 12:05,F,38,1980-09-27,부산광역시
341,GD573644,김동연,2019-01-16 13:26,M,67,1952-07-30,인천광역시
342,HI599756,김은재,2019-01-16 14:01,M,51,1968-05-06,인천광역시
343,AS933440,김우석,2019-01-16 14:11,F,53,1966-02-03,서울특별시
344,PL978177,김영훈,2019-01-16 15:00,M,44,1974-08-11,울산광역시
345,AS460629,김준기,2019-01-16 15:26,M,54,1965-03-04,인천광역시
346,HD666117,김도형,2019-01-16 16:56,M,54,1965-03-15,서울특별시
347,OA963991,김지석,2019-01-16 16:59,M,30,1989-04-14,대구광역시
348,IK397678,김서빈,2019-01-16 17:00,F,22,1996-10-25,대구광역시
349,HD914078,김지온,2019-01-16 17:08,F,70,1949-07-01,서울특별시
350,OA187758,김이한,2019-01-16 17:14,M,80,1938-12-18,대전광역시
351,PL053548,김명준,2019-01-16 18:01,F,64,1954-12-14,인천광역시
352,HD028682,김상훈,2019-01-16 19:20,M,46,1972-11-27,인천광역시
353,PL381578,김건율,2019-01-16 20:08,F,65,1954-03-31,서울특별시
354,HD096925,김인호,2019-01-16 20:20,F,63,1956-06-13,울산광역시
